title,price_eur,surface_m2,price_per_m2,rooms,city,zipcode,latitude,longitude,url
Appartement à vendre 3 pièces 73.51 m² 269000 € La Jonchère-Les Sablons La Celle-Saint-Cloud (78170),269000.0,73.51,3659.37,3.0,La Jonchère-Les Sablons La Celle-Saint-Cloud,78170,,,https://www.seloger.com/annonces/achat/appartement/la-celle-saint-cloud-78/beauregard/248436567.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 5 pièces 108 m² 359000 € Val d'Albian-Parc de Diane Jouy-en-Josas (78350),359000.0,108.0,3324.07,5.0,Jouy En Josas,78140,,,https://www.seloger.com/annonces/achat/appartement/jouy-en-josas-78/val-d-albian-parc-de-diane/248306319.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 3 pièces 73 m² 425000 € La Gare Clamart (92140),425000.0,73.0,5821.92,3.0,Clamart,92130,,,https://www.seloger.com/annonces/achat/appartement/clamart-92/la-gare/248346477.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 3 pièces 66.41 m² 479200 € Plateau-Mont Valérien Rueil-Malmaison (92500),479200.0,66.41,7215.78,3.0,Rueil Malmaison,75001,,,https://www.seloger.com/annonces/achat/appartement/rueil-malmaison-92/plateau-mont-valerien/248442387.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Duplex à vendre 4 pièces 75 m² 259900 € Plateau du Moulin Conflans-Sainte-Honorine (78700),259900.0,75.0,3465.33,4.0,Plateau du Moulin Conflans-Sainte-Honorine,78700,,,https://www.seloger.com/annonces/achat/appartement/conflans-sainte-honorine-78/plateau-du-moulin/248545369.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 4 pièces 64 m² 288000 € Bord de Seine-Closeaux Rueil-Malmaison (92500),288000.0,64.0,4500.0,4.0,Bord de Seine-Closeaux Rueil-Malmaison,92500,,,https://www.seloger.com/annonces/achat/appartement/rueil-malmaison-92/bord-de-seine-closeaux/248388149.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 3 pièces 52 m² 247000 € Fronval Vélizy-Villacoublay (78140),247000.0,52.0,4750.0,3.0,Fronval Vélizy-Villacoublay,78140,,,https://www.seloger.com/annonces/achat/appartement/velizy-villacoublay-78/fronval/248324631.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 5 pièces 101 m² 499000 € La Ville Au Bois Viroflay (78220),499000.0,101.0,4940.59,5.0,La Ville Au Bois Viroflay,78220,,,https://www.seloger.com/annonces/achat/appartement/viroflay-78/la-ville-au-bois/248503603.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 4 pièces 76 m² 326000 € Val d'Albian-Parc de Diane Jouy-en-Josas (78350),326000.0,76.0,4289.47,4.0,Jouy En Josas,78140,,,https://www.seloger.com/annonces/achat/appartement/jouy-en-josas-78/val-d-albian-parc-de-diane/248292267.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000%26page%3D2&m=classified_search_results_classified_classified_detail_XL
Appartement à vendre 3 pièces 50 m² 250000 € Bezons (95870),250000.0,50.0,5000.0,3.0,Bezons,95870,,,https://www.seloger.com/annonces/achat/appartement/bezons-95/246267717.htm?ln=classified_search_results&serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%26estateTypes%3DApartment%26locations%3DAD04FR5%26numberOfRoomsMin%3D3%26priceMax%3D500000%26page%3D2&m=classified_search_results_classified_classified_detail_XL
